date,close,open,high,low,change
2019-12-30,1157.97 ,1160.97 ,1161.30 ,1154.89 ,-0.15%
2019-12-27,1159.68 ,1162.15 ,1162.83 ,1158.12 ,-0.23%
2019-12-26,1162.30 ,1161.04 ,1163.42 ,1160.34 ,0.13%
2019-12-25,1160.76 ,1163.52 ,1164.09 ,1160.68 ,-0.24%
2019-12-24,1163.52 ,1164.04 ,1166.61 ,1160.71 ,-0.04%
2019-12-23,1164.04 ,1159.39 ,1165.20 ,1159.38 ,0.40%
2019-12-20,1159.40 ,1163.23 ,1166.05 ,1157.87 ,-0.33%
2019-12-19,1163.27 ,1167.62 ,1168.24 ,1163.03 ,-0.29%
2019-12-18,1166.66 ,1163.24 ,1168.89 ,1161.99 ,0.22%
2019-12-17,1164.15 ,1168.48 ,1170.80 ,1162.60 ,-0.37%
2019-12-16,1168.48 ,1176.90 ,1177.90 ,1167.98 ,-0.66%
2019-12-13,1176.21 ,1172.81 ,1178.74 ,1168.44 ,0.28%
2019-12-12,1172.89 ,1189.61 ,1192.70 ,1170.73 ,-1.41%
2019-12-11,1189.61 ,1190.49 ,1196.14 ,1189.61 ,-0.07%
2019-12-10,1190.49 ,1191.43 ,1194.86 ,1189.60 ,-0.01%
2019-12-09,1190.55 ,1186.31 ,1193.21 ,1186.01 ,0.37%
2019-12-06,1186.21 ,1188.62 ,1192.74 ,1185.63 ,-0.23%
2019-12-05,1188.92 ,1192.18 ,1193.65 ,1187.95 ,-0.20%
2019-12-04,1191.32 ,1188.94 ,1195.88 ,1187.80 ,0.11%
2019-12-03,1190.06 ,1185.48 ,1193.99 ,1184.40 ,0.36%
2019-12-02,1185.78 ,1181.96 ,1187.61 ,1178.35 ,0.35%
2019-11-29,1181.70 ,1179.13 ,1183.16 ,1177.91 ,0.24%
2019-11-28,1178.82 ,1176.71 ,1181.10 ,1175.98 ,0.16%
2019-11-27,1176.97 ,1173.42 ,1179.19 ,1172.63 ,0.31%
2019-11-26,1173.32 ,1173.80 ,1179.21 ,1170.70 ,-0.05%
2019-11-25,1173.90 ,1180.75 ,1180.77 ,1173.10 ,-0.54%
2019-11-22,1180.33 ,1177.65 ,1181.42 ,1175.52 ,0.29%
2019-11-21,1176.86 ,1170.23 ,1179.31 ,1169.56 ,0.52%
2019-11-20,1170.82 ,1168.35 ,1172.71 ,1167.73 ,0.21%
2019-11-19,1168.35 ,1167.23 ,1171.23 ,1165.83 ,0.10%
2019-11-18,1167.23 ,1163.90 ,1168.56 ,1162.93 ,0.31%
2019-11-15,1163.65 ,1169.08 ,1170.31 ,1163.41 ,-0.46%
2019-11-14,1169.08 ,1172.39 ,1173.17 ,1168.62 ,-0.21%
2019-11-13,1171.51 ,1165.95 ,1173.91 ,1164.71 ,0.43%
2019-11-12,1166.53 ,1165.46 ,1167.34 ,1160.68 ,0.09%
2019-11-11,1165.45 ,1159.25 ,1167.68 ,1158.45 ,0.58%
2019-11-08,1158.76 ,1154.47 ,1159.37 ,1153.74 ,0.30%
2019-11-07,1155.31 ,1161.43 ,1163.60 ,1153.11 ,-0.54%
2019-11-06,1161.58 ,1156.99 ,1162.98 ,1155.99 ,0.41%
2019-11-05,1156.82 ,1163.86 ,1163.94 ,1154.35 ,-0.53%
2019-11-04,1162.95 ,1164.53 ,1164.53 ,1157.51 ,-0.16%
2019-11-01,1164.80 ,1169.37 ,1171.13 ,1163.49 ,-0.46%
2019-10-31,1170.24 ,1165.41 ,1171.72 ,1159.80 ,0.41%
2019-10-30,1165.41 ,1168.39 ,1171.00 ,1164.91 ,-0.18%
2019-10-29,1167.55 ,1167.78 ,1169.74 ,1162.47 ,-0.09%
2019-10-28,1168.61 ,1172.10 ,1172.20 ,1168.01 ,-0.27%
2019-10-25,1171.82 ,1175.28 ,1175.96 ,1170.91 ,-0.29%
2019-10-24,1175.21 ,1169.77 ,1175.21 ,1166.99 ,0.39%
2019-10-23,1170.67 ,1173.07 ,1177.30 ,1170.48 ,-0.21%
2019-10-22,1173.09 ,1173.33 ,1175.00 ,1169.87 ,0.05%
2019-10-21,1172.49 ,1178.65 ,1180.56 ,1168.83 ,-0.54%
2019-10-18,1178.91 ,1179.07 ,1183.19 ,1178.62 ,-0.01%
2019-10-17,1179.07 ,1185.98 ,1188.07 ,1175.15 ,-0.63%
2019-10-16,1186.51 ,1185.79 ,1191.32 ,1184.30 ,0.14%
